ViralLoad1,ViralLoad2,T,CD4
3.4385013185672757,3.521882168122367,1,4.068612215388841
2.1970552142037842,0.5869930914986976,1,5.475293532841663
-0.15673155847536147,-0.5959118911849964,1,1.7154964568369175
-0.8655629483519752,-4.965652605285285,0,2.1661021437644705
-1.06763849868046,-5.273781567728418,0,6.90884133948421
4.5494770838518805,5.788924638506226,1,4.239541578136151
3.6036435802245244,3.5819806608828486,1,0.36573984311253893
-1.7054443752475723,0.5774792653836323,0,-1.275434237110911
-3.6753950138631906,-3.7357276985505403,1,1.9312003306548355
-2.631158823151664,-3.0400862495597827,0,-1.5218727285302704
-1.7584864835416092,-3.1555600345120203,0,2.802830638300777
-1.5516899722759476,-0.7259801990009491,0,3.3459166936770064
1.2495805430471043,1.851630506942644,1,0.2108471621736614
-2.5767287880392353,-2.2169772984068565,0,-0.25043869939039043
1.9563393237682285,1.5717601608248055,1,2.037811045042927
-0.45613125738795607,-1.9663660763207165,0,0.3809255823665545
3.5385515370520992,4.544857490019349,1,1.1514836996377582
0.03886757047818458,-4.461098409276256,0,5.722217783250032
0.0894936175666185,3.2916069846360045,1,2.7163896954703306
0.9580999197742862,0.12435655172835891,1,2.4579904413162783
-0.7743163178061812,-3.4511263117237383,1,6.574893218244338
0.19660750485559916,0.40912286732989367,0,-2.900296276985041
-1.310681642441681,1.4064370349558097,1,1.6679820749233514
2.755707366480279,5.158005520042435,0,-0.22425949313493887
2.4678680266431896,-0.5691821224786344,0,6.465122135203043
-0.6475202911366381,-2.637948893732509,0,5.965755740024136
1.6731028930882998,-0.8420180847058489,0,8.78369223408772
-2.087830641566782,-7.140106290310074,1,6.382953434913169
4.7098179823436555,7.685232643796349,1,1.1647561685800394
0.026801617961794144,0.06941636945752072,0,-0.2861091739009094
-1.0174350572062967,-0.06493511883717318,1,3.839869556124823
1.4298410326547952,4.407346134613034,1,-1.3254171487770998
2.1612497157297113,3.9148573218564904,1,2.166698497927311
